,City,Country,Lat,Lng,Cloudiness,Date,Humidity,Max Temp,Wind Speed,Hotel Name
0,Balkhash,KZ,46.843999999999994,74.9804,0,1619589067,19,297.15,2.0,Balkhash
1,Ipixuna,BR,-1.7625,-48.8043,0,1619589072,94,298.15,2.06,Colônia Velha
2,Xianshuigu,CN,38.985,117.3828,0,1619589099,15,295.15,5.0,Tianjin
3,Morondava,MG,-20.2833,44.2833,0,1619589156,73,299.79,2.88,Morondava
4,Vao,NC,-22.6667,167.4833,0,1619589173,60,296.18,7.85,Vao
5,Kashgar,CN,39.4547,75.9797,0,1619589175,13,296.15,2.0,Kashgar Prefecture
6,Acapulco de Juárez,MX,16.8634,-99.8901,0,1619589201,73,299.14,1.14,Acapulco
7,Qingdao,CN,36.0986,120.3719,0,1619589206,24,295.15,4.0,Qingdao
8,Maţāy,EG,28.419,30.7792,0,1619589213,38,295.02,5.0,Matay
9,Gibara,CU,21.1097,-76.1317,0,1619589224,88,296.15,3.6,Gibara
10,Jalu,LY,29.0331,21.5482,0,1619589226,19,297.76,6.26,Jalu
11,Poya,NC,-21.35,165.15,0,1619589236,61,296.14,4.66,Poya
